station_id,station_name,region,country,n_soundings,total_rows,avg_rows,pres_min,pres_max,temp_min,temp_max,DCAPE_mean,DCAPE_max,DCAPE_min,SHOW_mean,SHOW_max,SHOW_min,TOTL_mean,TOTL_max,TOTL_min,CTOT_mean,CTOT_max,CTOT_min,VTOT_mean,VTOT_max,VTOT_min,CCLP_mean,CCLP_max,CCLP_min
72249,Fort Worth,texas,US,58,244509,4216.0,5.1,995.8,-77.3,40.0,1276.6,1763.3,355.3,0.2,7.0,-5.3,44.5,52.9,34.1,18.5,24.0,7.3,26.0,30.6,22.2,664.5,912.4,8.2
72251,Dallas-FW,texas,US,32,202572,6330.0,5.8,1015.9,-79.4,36.1,1224.2,1565.2,411.6,2.2,10.5,-2.5,42.0,49.2,29.8,16.1,21.8,1.2,25.9,29.0,22.8,796.1,889.5,7.5
72340,Shreveport,texas,US,53,348985,6585.0,5.3,1000.0,-76.6,37.3,1115.0,1681.9,356.2,-0.4,8.4,-5.4,44.8,53.4,33.7,20.1,24.7,9.4,24.7,28.9,17.9,766.5,908.2,8.2
57494,Wuhan,asia,CN,59,9133,155.0,99.1,1005.6,-77.5,35.8,1092.0,1697.7,156.5,-0.6,8.8,-6.2,43.4,52.1,32.5,19.5,24.7,9.1,23.9,27.8,19.5,833.8,923.6,757.3
58362,Shanghai,asia,CN,59,8265,140.0,99.8,1013.0,-78.4,36.1,1154.4,1797.9,252.9,-0.8,9.1,-5.5,44.3,51.8,32.6,19.5,24.2,6.0,24.9,29.8,19.3,838.0,944.9,725.3
54857,Qingdao,asia,CN,59,8501,144.0,99.2,1003.9,-73.3,31.8,1153.7,1822.4,48.9,2.1,11.7,-5.4,40.5,52.6,27.3,16.6,24.8,-0.2,23.8,29.8,17.2,821.9,941.8,649.9
57083,Zhengzhou,asia,CN,59,8199,139.0,99.2,997.1,-75.3,34.5,1001.0,1672.1,130.2,-1.1,7.6,-6.7,44.5,53.1,32.3,20.4,26.4,10.2,24.1,28.7,17.2,819.9,930.0,628.8
58238,Nanjing,asia,CN,59,6832,116.0,99.3,1006.9,-75.6,34.4,1039.1,1747.4,205.6,-0.8,8.3,-7.5,44.1,55.3,33.8,19.7,26.1,6.2,24.4,29.3,19.4,858.4,953.2,754.0
47401,Japan-47401,asia,JP,59,2404,41.0,212.0,1016.0,-40.1,26.2,720.0,1217.0,198.0,6.1,21.5,-3.0,35.9,49.5,3.4,14.0,24.0,-15.3,21.9,26.1,15.7,784.7,954.3,597.0
47678,Japan-47678,asia,JP,59,2849,48.0,231.0,997.0,-40.1,30.8,1043.5,1531.3,517.0,2.2,14.0,-7.3,40.4,56.4,24.0,17.0,26.5,2.5,23.3,29.9,16.6,885.6,959.5,778.8
